date,high,open,low,close,volume,mav1,mav2,mav3,DiffBB,sameline
1388620800,1.06475,1.06396,1.06345,1.06381,4702,,,,,1
1388635200,1.06458,1.06381,1.06259,1.06282,5617,,,,,1
1388649600,1.06573,1.06283,1.06277,1.06366,4198,,,,,1
1388664000,1.06614,1.06366,1.06235,1.06269,4094,,,,,1
1388678400,1.06437,1.06268,1.05884,1.06388,6994,1.063372,,,,1
1388692800,1.06775,1.06391,1.06359,1.06688,3795,1.0639859999999999,,,,1
1388707200,1.06715,1.06687,1.06621,1.06693,2057,1.0648079999999998,,,,1
1388721600,1.06692,1.06692,1.0636,1.06453,3526,1.064982,,,,1
1388736000,1.06646,1.06455,1.06316,1.06384,3885,1.065212,,,,1
1388750400,1.06463,1.06386,1.06022,1.06172,4338,1.06478,1.064076,,,1
1388764800,1.06303,1.06177,1.06049,1.06092,4785,1.063588,1.063787,,,1
1388779200,1.06404,1.06092,1.06071,1.06296,3221,1.062794,1.063801,,,1
1388793600,1.06297,1.06297,1.06297,1.06297,1,1.062482,1.063732,,,1
1388966400,1.06401,1.06327,1.06099,1.06191,2310,1.062096,1.0636539999999999,,,1
1388980800,1.06236,1.06194,1.06141,1.06236,2572,1.062224,1.063502,,,1
1388995200,1.06366,1.06236,1.06084,1.0627,3466,1.06258,1.063084,,,1
1389009600,1.06681,1.0627,1.06207,1.06675,3862,1.063338,1.0630659999999998,,,1
1389024000,1.06805,1.06672,1.06455,1.06483,6460,1.06371,1.063096,,,1
1389038400,1.06602,1.06481,1.06408,1.06541,2706,1.06441,1.063253,,,1
1389052800,1.06725,1.06547,1.0651,1.06714,2955,1.065366,1.063795,,,1
1389067200,1.06847,1.06717,1.06673,1.0684,2452,1.066506,1.064543,,,1
1389081600,1.06882,1.06841,1.06704,1.06838,3918,1.0668320000000002,1.065085,,,1
1389096000,1.0718,1.06836,1.0681,1.07108,4512,1.068082,1.065896,,,1
1389110400,1.07617,1.07108,1.07055,1.07504,7538,1.070008,1.067209,,,1
1389124800,1.07811,1.07501,1.07472,1.07637,3967,1.071854,1.06861,1.0655192,,1
1389139200,1.07912,1.07642,1.07606,1.07891,3217,1.0739560000000001,1.0702310000000002,1.0661232,,1
1389153600,1.08088,1.07889,1.0787,1.08056,3277,1.076392,1.071612,1.0668328,,1
1389168000,1.08284,1.08056,1.07949,1.08124,4975,1.078424,1.073253,1.0675359999999998,,1
1389182400,1.08272,1.08127,1.07917,1.08009,5903,1.079434,1.0747209999999998,1.068232,,1
1389196800,1.08169,1.08018,1.079,1.08055,5870,1.08027,1.0760619999999999,1.0688988000000001,0.05318228871197217,1
1389211200,1.08299,1.08069,1.08022,1.08195,4513,1.080878,1.077417,1.0695016,0.05653901647860238,1
1389225600,1.08316,1.08197,1.08178,1.08288,2893,1.081342,1.078867,1.0701396,0.059539234378220396,1
1389240000,1.08449,1.0829,1.08289,1.08416,2980,1.081926,1.0801749999999999,1.0709248,0.06273407893824334,1
1389254400,1.08436,1.08416,1.08231,1.08362,3754,1.0826319999999998,1.0810330000000001,1.071716,0.06481409263530402,1
1389268800,1.08647,1.08364,1.08342,1.0855,5291,1.083622,1.0819459999999999,1.0726672,0.06748126338848115,1
1389283200,1.08708,1.0855,1.08399,1.0848,6208,1.084192,1.082535,1.0736224,0.06989294829014936,1
1389297600,1.08744,1.0848,1.08301,1.08414,3883,1.084444,1.0828929999999999,1.0744696,0.07166280422844817,1
1389312000,1.0857,1.08415,1.08368,1.08453,3099,1.0845179999999999,1.083222,1.075332,0.0726859204187873,1
1389326400,1.08518,1.08455,1.08396,1.08478,2365,1.08475,1.0836910000000002,1.0762468,0.07317425613505968,1
1389340800,1.08622,1.08478,1.08372,1.08567,3498,1.0847840000000002,1.084203,1.0771792,0.07274502307105957,1
1389355200,1.09289,1.08566,1.08543,1.09289,6652,1.086402,1.085297,1.0783868,0.07436180163893491,1
1389369600,1.09457,1.09291,1.08892,1.08926,9721,1.087426,1.0859349999999999,1.0792872,0.07429881246556258,1
1389384000,1.09024,1.08921,1.08829,1.08884,3865,1.088288,1.086403,1.0802476,0.07340579695859306,1
1389398400,1.08856,1.08856,1.08856,1.08856,1,1.089044,1.086897,1.0811736,0.07120925312467774,1
1389571200,1.09161,1.09055,1.09018,1.09059,2003,1.0900279999999998,1.087406,1.0821116,0.06909999050517834,1
1389585600,1.0906,1.0906,1.08906,1.08933,2452,1.089316,1.087859,1.0829487999999998,0.06583384421160421,1
1389600000,1.09259,1.08933,1.0893,1.09205,3799,1.0898739999999998,1.08865,1.0838956,0.06478226775971585,1
1389614400,1.09289,1.09205,1.08765,1.08819,4957,1.089744,1.089016,1.0845799999999999,0.06073158576790627,1
1389628800,1.08866,1.08824,1.08606,1.08633,6418,1.0892979999999999,1.089171,1.0850316,0.055729473396551654,1
1389643200,1.08738,1.08633,1.08422,1.08619,3573,1.088418,1.089223,1.0854244,0.05085399436610638,1
1389657600,1.08993,1.08619,1.08583,1.08897,3408,1.088346,1.088831,1.0858268,0.04635156131977691,1
