time,open,high,low,close,vol
2017-01-06 00:00:00,1.32211,1.32601,1.32161,1.32527,19941270000
2017-01-06 04:00:00,1.32528,1.32626,1.32452,1.32591,13035193000
2017-01-06 08:00:00,1.32593,1.32676,1.32441,1.32460,14316419000
2017-01-06 12:00:00,1.32461,1.32659,1.31786,1.32119,21486808000
2017-01-06 16:00:00,1.32123,1.32430,1.31769,1.32377,29631257000
2017-01-06 20:00:00,1.32378,1.32552,1.32295,1.32346,16026026000
2017-01-09 00:00:00,1.32394,1.32557,1.32253,1.32284,13958940000
2017-01-09 04:00:00,1.32284,1.32618,1.32262,1.32568,10161372000
2017-01-09 08:00:00,1.32567,1.32686,1.32304,1.32486,17041954000
2017-01-09 12:00:00,1.32487,1.32768,1.32372,1.32393,19619298000
2017-01-09 16:00:00,1.32397,1.32609,1.31965,1.32103,22605092000
2017-01-09 20:00:00,1.32102,1.32351,1.32075,1.32144,11601704000
2017-01-10 00:00:00,1.32167,1.32353,1.32087,1.32341,10664696000
2017-01-10 04:00:00,1.32334,1.32357,1.31969,1.32142,13464395000
2017-01-10 08:00:00,1.32143,1.32408,1.32091,1.32282,16577442000
2017-01-10 12:00:00,1.32282,1.32569,1.32140,1.32187,18260047000
2017-01-10 16:00:00,1.32187,1.32227,1.31915,1.32078,25920634000
2017-01-10 20:00:00,1.32080,1.32441,1.32073,1.32304,12005177000
2017-01-11 00:00:00,1.32269,1.32515,1.32212,1.32440,13266871000
2017-01-11 04:00:00,1.32440,1.32540,1.32390,1.32393,12665013000
2017-01-11 08:00:00,1.32397,1.32407,1.32150,1.32336,16238533000
2017-01-11 12:00:00,1.32335,1.32535,1.32193,1.32334,18896873000
2017-01-11 16:00:00,1.32333,1.32939,1.31827,1.31882,39739235000
2017-01-11 20:00:00,1.31882,1.31944,1.31187,1.31799,34465416000
2017-01-12 00:00:00,1.31777,1.31849,1.31569,1.31609,16608851000
2017-01-12 04:00:00,1.31609,1.31621,1.31253,1.31316,15822201000
2017-01-12 08:00:00,1.31317,1.31351,1.30290,1.30438,24093379000
2017-01-12 12:00:00,1.30439,1.30909,1.30410,1.30907,24315344000
2017-01-12 16:00:00,1.30907,1.31492,1.30827,1.31241,25280404000
2017-01-12 20:00:00,1.31242,1.31439,1.31188,1.31431,14651441000
2017-01-13 00:00:00,1.31418,1.31567,1.31335,1.31390,8267532000
2017-01-13 04:00:00,1.31391,1.31674,1.31388,1.31531,9500153000
2017-01-13 08:00:00,1.31531,1.31560,1.31320,1.31494,18217348000
2017-01-13 12:00:00,1.31493,1.31533,1.31106,1.31354,22892952000
2017-01-13 16:00:00,1.31352,1.31631,1.31125,1.31252,29592602000
2017-01-13 20:00:00,1.31252,1.31430,1.31110,1.31110,12768594000
2017-01-16 00:00:00,1.31301,1.31427,1.31179,1.31389,10721754000
2017-01-16 04:00:00,1.31390,1.31459,1.31300,1.31359,10002492000
2017-01-16 08:00:00,1.31358,1.31543,1.31243,1.31436,20484122000
2017-01-16 12:00:00,1.31436,1.31636,1.31282,1.31589,16516880000
2017-01-16 16:00:00,1.31589,1.31760,1.31406,1.31552,13346520000
2017-01-16 20:00:00,1.31552,1.31874,1.31440,1.31722,7374385000
2017-01-17 00:00:00,1.31719,1.31890,1.31571,1.31815,7036378000
2017-01-17 04:00:00,1.31816,1.31821,1.31045,1.31111,11610366000
2017-01-17 08:00:00,1.31111,1.31216,1.30348,1.30459,21576882000
2017-01-17 12:00:00,1.30460,1.30776,1.30181,1.30509,29990119000
2017-01-17 16:00:00,1.30508,1.30740,1.30317,1.30540,28159294000
2017-01-17 20:00:00,1.30541,1.30632,1.30370,1.30400,11593244000
2017-01-18 00:00:00,1.30401,1.30714,1.30307,1.30657,10150075000
2017-01-18 04:00:00,1.30657,1.30768,1.30623,1.30732,14501260000
2017-01-18 08:00:00,1.30733,1.30778,1.30487,1.30670,15247814000
2017-01-18 12:00:00,1.30670,1.31199,1.30670,1.31116,19314394000
2017-01-18 16:00:00,1.31116,1.32348,1.30552,1.32191,31386650000
2017-01-18 20:00:00,1.32190,1.32708,1.32076,1.32679,19426680000
2017-01-19 00:00:00,1.32678,1.32714,1.32519,1.32663,12788869000
2017-01-19 04:00:00,1.32662,1.32699,1.32558,1.32577,15547926000
2017-01-19 08:00:00,1.32580,1.32863,1.32545,1.32818,19886677000
2017-01-19 12:00:00,1.32819,1.33232,1.32641,1.32818,28384011000
2017-01-19 16:00:00,1.32818,1.33529,1.32734,1.33334,35462487000
2017-01-19 20:00:00,1.33334,1.33431,1.33044,1.33165,18484848000
2017-01-20 00:00:00,1.33131,1.33302,1.32850,1.32873,9319949000
2017-01-20 04:00:00,1.32869,1.33083,1.32836,1.33059,12197098000
2017-01-20 08:00:00,1.33061,1.33441,1.32903,1.33373,19379916000
2017-01-20 12:00:00,1.33372,1.33871,1.33351,1.33517,22176547000
2017-01-20 16:00:00,1.33518,1.33776,1.33239,1.33527,32527816000
2017-01-20 20:00:00,1.33528,1.33544,1.33055,1.33122,23354535000
2017-01-23 00:00:00,1.33139,1.33290,1.32843,1.32893,13203177000
2017-01-23 04:00:00,1.32892,1.32992,1.32804,1.32814,19434183000
2017-01-23 08:00:00,1.32813,1.32964,1.32678,1.32880,20764297000
2017-01-23 12:00:00,1.32879,1.33199,1.32682,1.33081,19575941000
2017-01-23 16:00:00,1.33080,1.33345,1.32691,1.32691,24421811000
2017-01-23 20:00:00,1.32689,1.32771,1.32207,1.32345,16552403000
2017-01-24 00:00:00,1.32320,1.32433,1.32191,1.32253,12842178000
2017-01-24 04:00:00,1.32254,1.32372,1.32117,1.32318,14235868000
2017-01-24 08:00:00,1.32318,1.32718,1.32282,1.32588,19369020000
2017-01-24 12:00:00,1.32590,1.32989,1.32539,1.32650,17801302000
2017-01-24 16:00:00,1.32651,1.32656,1.31054,1.31377,28369487000
2017-01-24 20:00:00,1.31377,1.31709,1.31244,1.31573,14442294000
2017-01-25 00:00:00,1.31531,1.31630,1.31379,1.31396,8393726000
2017-01-25 04:00:00,1.31397,1.31413,1.31212,1.31350,13840263000
2017-01-25 08:00:00,1.31350,1.31593,1.31196,1.31260,15999710000
2017-01-25 12:00:00,1.31261,1.31367,1.30864,1.30977,20486543000
2017-01-25 16:00:00,1.30976,1.31320,1.30625,1.30656,24991573000
2017-01-25 20:00:00,1.30655,1.30902,1.30607,1.30696,16145150000
2017-01-26 00:00:00,1.30702,1.30780,1.30529,1.30571,12678210000
2017-01-26 04:00:00,1.30571,1.30705,1.30546,1.30666,10493361000
2017-01-26 08:00:00,1.30665,1.31079,1.30638,1.31001,17930673000
2017-01-26 12:00:00,1.31000,1.31302,1.30964,1.31113,17199708000
2017-01-26 16:00:00,1.31113,1.31254,1.30807,1.30937,20114585000
2017-01-26 20:00:00,1.30940,1.31222,1.30827,1.30873,15071810000
2017-01-27 00:00:00,1.30866,1.31128,1.30828,1.30995,11794586000
2017-01-27 04:00:00,1.30993,1.31199,1.30931,1.31137,10287148000
2017-01-27 08:00:00,1.31141,1.31300,1.31005,1.31047,16126389000
2017-01-27 12:00:00,1.31050,1.31209,1.30938,1.30999,15875248000
2017-01-27 16:00:00,1.30998,1.31354,1.30890,1.31345,22145687000
2017-01-27 20:00:00,1.31346,1.31532,1.31262,1.31496,9324819000
2017-01-30 00:00:00,1.31296,1.31406,1.31210,1.31258,18628098000
2017-01-30 04:00:00,1.31258,1.31381,1.31208,1.31367,18072100000
2017-01-30 08:00:00,1.31367,1.31597,1.31278,1.31471,16742497000
2017-01-30 12:00:00,1.31471,1.31687,1.31195,1.31206,21471549000
2017-01-30 16:00:00,1.31207,1.31468,1.30761,1.30977,24244153000
