time,low,high,open,close,volume
2017-01-01 01:00:00,968.21,972.0,970.99,970.49,148.35380141
2017-01-01 02:00:00,967.0,971.99,970.49,967.95,108.43613912
2017-01-01 03:00:00,967.57,969.47,967.83,968.14,125.09431356
2017-01-01 04:00:00,966.64,968.62,968.17,968.1,79.41183049
2017-01-01 05:00:00,964.37,968.1,968.1,966.92,159.86432068
2017-01-01 06:00:00,964.54,969.63,966.92,969.45,68.54712649
2017-01-01 07:00:00,968.54,970.56,969.45,969.47,82.88220936
2017-01-01 08:00:00,968.11,969.58,969.04,969.15,89.5936876
2017-01-01 09:00:00,968.6,970.68,969.16,970.38,52.61834586
2017-01-01 10:00:00,969.79,974.99,970.36,974.99,100.24092551
2017-01-01 11:00:00,974.98,975.0,974.98,975.0,53.65411492
2017-01-01 12:00:00,974.01,975.0,975.0,974.56,51.99700562
2017-01-01 13:00:00,974.31,977.99,974.37,977.99,124.68269493
2017-01-01 14:00:00,977.58,979.99,977.98,979.99,100.9442363
2017-01-01 15:00:00,979.01,979.99,979.99,979.99,110.60929404
2017-01-01 16:00:00,977.63,994.97,979.98,994.79,545.21712391
2017-01-01 17:00:00,993.0,994.8,994.8,994.42,366.59442776
2017-01-01 18:00:00,994.49,999.68,994.49,997.12,347.56732392
2017-01-01 19:00:00,993.7,997.11,997.11,994.92,271.65721333
2017-01-01 20:00:00,993.76,1000.0,994.61,1000.0,306.40469481
2017-01-01 21:00:00,992.04,1000.0,1000.0,997.22,435.75484369
2017-01-01 22:00:00,990.0,998.0,997.22,998.0,295.21865218
2017-01-01 23:00:00,986.86,998.99,998.0,992.95,211.45395494
2017-01-02 00:00:00,992.86,997.99,992.96,995.48,250.63936818
2017-01-02 01:00:00,990.52,997.71,996.17,997.71,213.41196949
2017-01-02 02:00:00,997.39,1002.0,997.7,1002.0,253.78521724
2017-01-02 03:00:00,1000.01,1011.78,1002.0,1009.63,437.37277351
2017-01-02 04:00:00,1005.43,1010.7,1009.63,1009.62,191.69368992
2017-01-02 05:00:00,1000.0,1012.0,1009.2,1003.64,340.48495649
2017-01-02 06:00:00,1002.92,1010.99,1002.94,1009.65,190.49711814
2017-01-02 07:00:00,1007.35,1012.25,1009.8,1012.25,183.95580198
2017-01-02 08:00:00,1009.33,1013.0,1012.01,1012.03,108.59326182
2017-01-02 09:00:00,1005.7,1015.0,1012.03,1015.0,122.58852369
2017-01-02 10:00:00,1010.65,1019.1,1015.0,1015.79,198.68850233
2017-01-02 11:00:00,1015.43,1024.95,1015.52,1024.84,150.77037061
2017-01-02 12:00:00,1021.7,1025.0,1024.84,1024.99,114.39532445
2017-01-02 13:00:00,1005.3,1025.0,1024.99,1018.16,229.18611285
2017-01-02 14:00:00,1011.34,1024.54,1018.0,1024.31,177.61662773
2017-01-02 15:00:00,1015.05,1028.0,1024.31,1026.98,680.83351232
2017-01-02 16:00:00,1023.2,1034.39,1026.98,1029.95,424.81495235
2017-01-02 17:00:00,1015.81,1030.0,1029.76,1021.88,367.93084244
2017-01-02 18:00:00,1018.0,1029.0,1021.87,1018.41,323.71659911
2017-01-02 19:00:00,997.2,1019.58,1018.26,1001.01,906.53325963
2017-01-02 20:00:00,991.69,1014.0,1001.02,1012.98,957.64345482
2017-01-02 21:00:00,1006.6,1017.79,1012.99,1012.2,313.21919823
2017-01-02 22:00:00,1011.31,1019.67,1012.2,1013.8,260.8305565
2017-01-02 23:00:00,1011.45,1019.99,1015.05,1011.45,324.43375779
2017-01-03 00:00:00,1009.29,1023.3,1011.52,1020.74,309.19482543
2017-01-03 01:00:00,1012.61,1022.99,1020.84,1019.01,243.24847029
2017-01-03 02:00:00,1012.9,1023.0,1019.05,1022.97,132.0109807
2017-01-03 03:00:00,1016.65,1029.85,1022.97,1024.09,415.07825107
2017-01-03 04:00:00,1017.42,1024.1,1023.95,1022.36,297.67770405
2017-01-03 05:00:00,1015.03,1027.93,1021.86,1018.8,328.92870661
2017-01-03 06:00:00,1011.5,1024.47,1018.65,1013.16,306.65314221
2017-01-03 07:00:00,1006.71,1019.37,1013.07,1019.37,220.80761629
2017-01-03 08:00:00,1012.0,1019.8,1019.37,1012.02,170.57153443
2017-01-03 09:00:00,1010.0,1019.3,1012.03,1010.97,241.12346366
2017-01-03 10:00:00,1009.08,1016.99,1011.04,1014.94,246.34812714
2017-01-03 11:00:00,1014.48,1023.95,1014.94,1019.82,260.29336257
2017-01-03 12:00:00,1017.0,1025.75,1019.96,1018.8,259.03286912
2017-01-03 13:00:00,1013.5,1020.0,1018.94,1015.0,231.9168185
2017-01-03 14:00:00,1013.26,1019.0,1016.37,1014.34,301.33257491
2017-01-03 15:00:00,1010.3,1019.78,1013.65,1016.97,374.64436866
2017-01-03 16:00:00,1015.78,1018.56,1016.97,1017.86,277.89425977
2017-01-03 17:00:00,1016.8,1019.99,1017.79,1019.97,293.80864859
2017-01-03 18:00:00,1018.76,1026.43,1019.98,1023.96,443.80648879
2017-01-03 19:00:00,1014.0,1024.0,1023.96,1018.25,578.41649064
2017-01-03 20:00:00,1018.25,1027.83,1018.25,1025.82,488.16965091
2017-01-03 21:00:00,1020.0,1028.51,1026.04,1024.46,565.01438344
2017-01-03 22:00:00,1022.86,1032.0,1024.33,1028.54,563.05863291
2017-01-03 23:00:00,1018.18,1036.99,1027.85,1020.67,1066.22868745
2017-01-04 00:00:00,1018.0,1039.33,1020.69,1036.55,710.67679566
